user,class_id,parti_rate
ctowle,31,0.6666666666666666
gs4phone,31,1.0
almulla2,31,0.3333333333333333
msuglian,31,0.3333333333333333
gracegu,31,0.6666666666666666
newhooloovoo,31,0.3333333333333333
mnz.islam,32,1.0
peterwoerner,32,1.0
shineyjc,32,0.6
akido707,32,0.8
pmm06d,32,1.0
shchlin,32,0.4
xz12e,32,1.0
justin.collins.eng,32,0.2
aerospyder,32,0.2
cheeryjc,32,0.2
yesusa,32,0.8
misshunter7685,32,0.8
hj11b,32,0.8
reolmes,33,1.0
qsullivan11,33,1.0
brano,33,1.0
maddogclc,33,1.0
noah.brummer,33,1.0
dontornquist,33,1.0
caracheo,33,1.0
cwg2,33,1.0
polarisatv4,34,0.5
pvuong3,34,1.0
jayyao,34,1.0
alai6,34,1.0
mantrarush,34,1.0
insung0224,34,1.0
sangyuno0o,34,1.0
mjbollan,34,1.0
kapadia3,34,1.0
tonyinhk,34,1.0
nikola.ivancevic.1,34,1.0
austin.martinovich,34,1.0
bhyoon91,34,0.5
srinisrikumar,34,0.5
nikhil78888,34,0.5
ljapplebaum,34,0.5
dvncrtr,34,0.5
almirk,34,1.0
xunyu2,34,1.0
matt.koopmann,34,1.0
jkim440,34,0.5
lityo2,34,0.5
lappleb2,34,1.0
adatia1,34,1.0
davidar2,34,1.0
yliu160,34,1.0
choquett,34,1.0
djinkorea,34,0.5
zihe.gao,34,0.5
fuchslu2,34,1.0
jofu803,34,1.0
illini1208,34,1.0
broadhurst.josh,34,1.0
paur2,34,1.0
mhaider2,34,1.0
pramesh2,34,1.0
siddharth.s410,35,0.8
laagesen,35,0.6
grunenfe,35,0.8
sedmorteza,35,0.8
alirezaa66,35,0.8
eragasa,35,0.6
altaf.karim.7,35,0.8
zyu_csm,35,0.6
adehgha,35,1.0
kthorn01,35,0.4
sg630,35,0.2
awaisali989,35,1.0
eric.casavant.568,35,0.6
cjmar227,35,0.6
lhamill,35,0.6
dlipke,35,0.6
luoj.rpi,35,1.0
schiavo1,35,0.8
dbhhit,35,0.6
jwc137,35,0.6
haris.rudianto,35,0.8
wwarriner,35,0.8
dsch33,36,1.0
ssrajer,36,1.0
dpapanicolas,36,1.0
sdschmi2,36,1.0
mchu5,36,1.0
stephanieh,36,1.0
jacobcamp1,36,1.0
witvlit,36,1.0
a_kuzni2,36,1.0
reneening,36,1.0
streufe1,36,1.0
jaikarnik95,36,1.0
vasyltheonly,36,1.0
ans.liverpool,36,1.0
liuyuting1006,36,1.0
shamaleegoonetilleke,36,1.0
joylin11,36,1.0
toni.nepo7,36,1.0
bbknipfer,36,1.0
alexmkuznicki,36,1.0
nicholascadler,36,1.0
njamali2,36,1.0
fangguanhua2013,36,1.0
alvinlvalysa,36,1.0
dsch0908,36,1.0
pokhym,36,1.0
gracepakeltis,36,1.0
yliu181,36,1.0
andr.buhl,36,1.0
billli1997,36,1.0
cwojtan,36,1.0
