semester,number of clusters,cluster id,users in each cluster,unique institutions,institution list
,,38,5,2,"['university of florida', 'purdue university']"
,,39,5,3,"['clemson university', 'university of illinois at urbana-champaign', 'technische universitÃ¤t mÃ¼nchen']"
,,40,5,2,"['the university of british columbia', 'Harvard University']"
,,41,5,2,"['stanford university', 'Chippewa Valley Technical College']"
,,42,5,2,"['brno university of technology', 'seznam.cz']"
,,43,5,2,"['brno university of technology', 'seznam.cz']"
,,44,5,2,"['northeastern university', 'university of alberta']"
,,45,5,2,"['caltech', 'uc berkeley']"
,,46,5,0,[]
fall2009,51,1,191,1,['northwestern university']
,,2,143,2,"['purdue university', 'portland state university']"
,,3,121,2,"['university of illinois at urbana-champaign', 'illinois business consulting']"
,,4,116,7,"['university of illinois at urbana-champaign', 'the university of texas at el paso', 'easydriver car services espaÃ±a', 'united business student senate', 'Chicago State University', 'the university of british columbia', 'gwangju institute of science & technology']"
,,5,50,2,"['purdue university', 'university of michigan']"
,,6,44,1,['northwestern university']
,,7,36,4,"['university of texas - pan american', 'boise state university', 'university of texas at dallas', 'brownsville public utilities board']"
,,8,35,6,"['Chicago State University', 'arizona state university', 'national science foundation', 'texas a&m university', 'ieee', 'Harvard University']"
,,9,30,1,['virginia tech']
,,10,21,1,['united business student senate']
,,11,20,3,"['purdue university', 'university of new mexico', 'Naval Postgraduate School']"
,,12,20,1,['purdue university']
,,13,18,1,['University of South Alabama']
,,14,16,3,"['stanford university', 'university of california, san diego', 'guardian industries']"
,,15,16,3,"['purdue university', 'university of illinois at urbana-champaign', 'portland state university']"
,,16,16,1,['kth royal institute of technology']
,,17,15,4,"['university of illinois at urbana-champaign', 'massachusetts institute of technology (mit)', 'illinois business consulting', 'rochester institute of technology']"
,,18,15,4,"['university of notre dame', 'university of texas at dallas', 'Chicago State University', 'arizona state university']"
,,19,14,1,['arizona state university']
,,20,13,1,['purdue university']
,,21,13,3,"['university of illinois at urbana-champaign', 'purdue university', 'university of michigan']"
,,22,12,1,['national chiao tung university']
,,23,12,1,['purdue university']
,,24,12,1,['massachusetts institute of technology (mit)']
,,25,11,2,"['north carolina state university', 'university of texas - pan american']"
,,26,10,4,"['purdue university', 'uc berkeley', 'george washington university', 'massachusetts institute of technology (mit)']"
,,27,10,5,"['rochester institute of technology', 'university of barcelona', 'purdue university', 'university of pennsylvania', 'aim professional group']"
,,28,9,1,['purdue university']
,,29,9,1,['University of Washington Seattle Campus']
,,30,9,1,['kth royal institute of technology']
,,31,8,1,['university of florida']
,,32,7,5,"['university of wisconsin-madison', 'massachusetts institute of technology (mit)', 'uc santa cruz', 'purdue university', 'ucla']"
,,33,7,1,['northwestern university']
,,34,7,1,['northwestern university']
,,35,7,0,[]
,,36,7,1,['university of portland']
,,37,6,2,"['national chiao tung university', 'uc berkeley']"
,,38,6,1,['stanford university']
,,39,6,3,"['portland state university', 'university of patras', 'intel corporation']"
,,40,6,2,"['massachusetts institute of technology (mit)', 'university of bologna']"
,,41,6,3,"['colours', 'purdue university', 'university of virginia']"
,,42,6,1,['purdue university']
,,43,5,2,"['purdue university', 'university of virginia']"
,,44,5,1,['university of pennsylvania']
,,45,5,0,[]
,,46,5,1,['university of victoria']
,,47,5,3,"['university of alberta', 'university of twente', 'university of maryland']"
,,48,5,1,['purdue university']
,,49,5,2,"['university of warwick', 'national chiao tung university']"
,,50,5,2,"['purdue university', 'the university of texas at el paso']"
,,51,5,1,['forschungszentrum jÃ¼lich']
spring2010,90,1,448,2,"['northwestern university', 'national science foundation']"
,,2,115,2,"['university of illinois at urbana-champaign', 'illinois business consulting']"
,,3,107,1,['purdue university']
,,4,59,9,"['university of pittsburgh', 'purdue university', 'university of florida', 'university of bristol', 'grenoble inp - institut polytechnique de grenoble', 'epfl (Ã©cole polytechnique fÃ©dÃ©rale de lausanne)', 'florida international university', 'politecnico di torino', 'the university of texas at el paso']"
,,5,49,6,"['kth royal institute of technology', 'purdue university', 'arizona state university', 'Oklahoma Christian University', 'uc davis', 'university of delaware']"
,,6,47,4,"['massachusetts institute of technology (mit)', 'united business student senate', 'purdue university', 'stanford university']"
,,7,46,3,"['purdue university', 'ivy tech community college', 'university of michigan']"
,,8,40,4,"['michigan technological university', 'university of illinois at urbana-champaign', 'illinois business consulting', 'purdue university']"
,,9,32,2,"['united business student senate', 'arizona state university']"
,,10,29,4,"['university of virginia', 'arizona state university', 'technion - israel institute of technology', 'purdue university']"
,,11,29,5,"['portland state university', 'The University of Alabama', 'purdue university', 'Grand Valley State University', 'California Polytechnic State University San Luis Obispo']"
,,12,27,5,"['northwestern university', 'stanford university', 'university of california, san diego', 'the ohio state university', 'university of texas at dallas']"
,,13,27,4,"['the ohio state university', 'penn state university', 'the university of texas at el paso', 'Lamar University']"
,,14,25,3,"['university of twente', 'uc davis', 'kth royal institute of technology']"
,,15,24,8,"['cairo university', 'universitÃ© de rennes 1', 'arizona state university', 'national science foundation', 'texas a&m university', 'ieee', 'yahoo', 'university of massachusetts lowell']"
,,16,20,5,"['clemson university', 'the university of texas at el paso', 'technische universitÃ¤t mÃ¼nchen', 'university of florida', 'university of central florida']"
,,17,19,1,['northwestern university']
,,18,19,2,"['purdue university', 'georgia institute of technology']"
,,19,18,8,"['karlstad university', 'wright state university', 'purdue university', 'unsw', 'eth zurich', 'rose-hulman institute of technology', 'university of toronto', 'university of notre dame']"
,,20,18,9,"['brown university', 'University of Puerto Rico Mayaguez', 'arizona state university', 'washington university in st. louis', 'lawrence berkeley national laboratory', 'Dakota County Technical College', 'zumtobel lighting', 'uc berkeley', 'Minnesota State College Southeast']"
,,21,18,6,"['arizona state university', 'north carolina state university', 'university of salford', 'the university of nottingham malaysia campus', 'oberlin college', 'university of florida']"
,,22,17,2,"['university of illinois at urbana-champaign', 'university of massachusetts amherst']"
,,23,16,1,['massachusetts institute of technology (mit)']
,,24,16,3,"['brno university of technology', 'seznam.cz', 'cornell university']"
,,25,16,4,"['Grove City College', 'university of illinois at urbana-champaign', 'university of central florida', 'illinois business consulting']"
,,26,15,1,['united business student senate']
,,27,15,1,['northwestern university']
,,28,13,2,"['arizona state university', 'boston university']"
,,29,13,1,['Embry Riddle Aeronautical University Worldwide']
,,30,12,1,['northwestern university']
,,31,11,2,"['illinois business consulting', 'university of illinois at urbana-champaign']"
,,32,11,2,"['shizuoka university', 'riken']"
,,33,11,4,"['University of Mary Washington', 'Millikin University', 'northwestern university', 'columbia university in the city of new york']"
,,34,10,1,['purdue university']
,,35,10,2,"['university of illinois at urbana-champaign', 'illinois business consulting']"
