,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
82,2006-11-01,7617,342,117,122,103,385,6993,385,770,4.219617520049352,4.750154225786551,4.750154225786551,86.28007402837754,9.500308451573103
83,2006-12-01,8024,380,125,128,127,405,7348,405,810,4.450691028343874,4.743499648629656,4.743499648629656,86.06230967439681,9.486999297259311
84,2007-01-01,8237,398,136,134,128,413,7535,413,826,4.543897705217491,4.715150131293527,4.715150131293527,86.02580203219546,9.430300262587053
85,2007-02-01,8998,444,145,149,150,428,8239,428,856,4.654575951357585,4.486843484641996,4.486843484641996,86.37173707935843,8.973686969283992
86,2007-03-01,9532,474,160,157,157,445,8731,445,890,4.695393759286776,4.408122833085686,4.408122833085686,86.48836057454186,8.816245666171373
87,2007-04-01,10022,511,174,170,167,455,9178,455,910,4.821209548070573,4.292857816775167,4.292857816775167,86.5930748183791,8.585715633550334
88,2007-05-01,10384,539,183,177,179,474,9501,474,948,4.905351292318894,4.313796869311977,4.313796869311977,86.46705496905716,8.627593738623954
89,2007-06-01,10690,562,191,185,186,492,9771,492,984,4.965980383493859,4.347441901564019,4.347441901564019,86.33913581337809,8.694883803128038
90,2007-07-01,10976,589,202,192,195,508,10018,508,1016,5.067538501247527,4.370644411941839,4.370644411941839,86.1911726748688,8.741288823883679
91,2007-08-01,11245,606,210,198,198,514,10267,514,1028,5.092009074867658,4.3189647928745485,4.3189647928745485,86.27006133938325,8.637929585749097
92,2007-09-01,11568,626,214,208,204,528,10557,528,1056,5.114796960535991,4.3140779475447335,4.3140779475447335,86.25704714437454,8.628155895089467
93,2007-10-01,11956,659,220,213,226,545,10900,545,1090,5.209898015653412,4.308640999288482,4.308640999288482,86.17281998576962,8.617281998576964
