,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,self_study_day_1_users_date_track,self_study_day_2_7_users_date_track,self_study_day_8_30_users_date_track,self_study_day_31_90_users_date_track,self_study_day_91_180_users_date_track,self_study_day_181_365_users_date_track,self_study_years_users_date_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
136,2011-05-01,10522,5157,1181,1154,2822,47,5157,444,2152,287,247,299,209,289,1649,491,47.727903748264694,0.4349838037945396,4.109208699676076,47.727903748264694,4.544192503470615
137,2011-06-01,10464,5031,1176,1151,2704,49,5217,456,2162,297,249,298,212,294,1680,505,46.786943178647824,0.45568678508323257,4.24067702036641,48.51669301590254,4.696363805449642
138,2011-07-01,10502,5078,1207,1133,2738,49,5213,448,2145,289,256,308,204,295,1691,497,47.07081942899518,0.4542083796811272,4.1527623285131625,48.322209862810524,4.606970708194289
139,2011-08-01,10494,5055,1190,1158,2707,54,5233,446,2159,278,249,310,210,303,1698,500,46.85761957730812,0.5005561735261401,4.134223210975158,48.507601038190586,4.6347793845012975
140,2011-09-01,10684,5221,1195,1211,2815,54,5258,450,2159,277,255,302,216,311,1712,504,47.53710279522899,0.49166894291177277,4.09724119093144,47.8739870709278,4.588910133843212
141,2011-10-01,10965,5478,1202,1299,2977,55,5283,453,2170,275,259,303,218,317,1718,508,48.61123435974798,0.48806460200550184,4.019877540154406,46.88082349809211,4.507942142159908
142,2011-11-01,11330,5846,1244,1319,3283,55,5282,445,2169,270,262,299,213,320,1725,500,50.275197798417615,0.4729962160302717,3.826969384244926,45.42483660130719,4.299965600275198
143,2011-12-01,11137,5727,1250,1290,3187,56,5211,445,2151,248,256,292,219,310,1712,501,50.06556517178075,0.4895532826296005,3.890200192324504,45.554681353265146,4.3797534749541045
144,2012-01-01,10877,5470,1280,1199,2991,60,5208,443,2181,238,269,271,215,312,1694,503,48.92227886593328,0.5366246310705661,3.9620785260710134,46.579017976925144,4.49870315714158
145,2012-02-01,11634,6165,1242,1367,3556,62,5263,451,2177,239,272,271,230,318,1729,513,51.62884180554392,0.5192194958546186,3.776903106942467,44.07503559165899,4.296122602797086
146,2012-03-01,11986,6447,1276,1505,3666,66,5325,458,2183,236,265,298,232,326,1759,524,52.431685100845804,0.5367599219258296,3.7247885491216657,43.306766428106705,4.261548471047496
147,2012-04-01,11959,6348,1295,1533,3520,65,5400,458,2195,238,269,322,240,321,1789,523,51.7317252057697,0.5297041805883791,3.732377149376579,44.006193464265344,4.262081329964959
148,2012-05-01,11785,6112,1400,1393,3319,69,5467,464,2233,226,278,313,233,337,1821,533,50.46235138705416,0.5696829590488771,3.830911492734478,45.13705416116248,4.4005944517833555
149,2012-06-01,11760,6005,1423,1248,3334,68,5556,464,2270,228,308,316,229,339,1840,532,49.65682626312743,0.5623087736707186,3.8369304556354913,45.94393450756636,4.39923922930621
