,nhid
1454,103000
1455,103020
1456,103090
1457,103162
1458,103189
1459,103298
1460,103304
1461,103416
1462,103423
1463,103481
1464,103679
1465,103720
1466,103730
1467,103765
1468,103947
1469,103952
1470,103970
1471,103990
1472,104300
1473,104401
1474,104440
1475,105047
1476,105054
1477,105109
1478,105207
1479,105223
1480,105518
1481,105610
1482,105883
1483,106366
1484,106418
1485,106614
1486,106853
1487,106857
1488,107094
1489,107135
1490,107150
1491,107228
1492,107328
1493,107405
1494,107467
1495,107683
1496,107915
1497,108054
1498,108121
1499,108374
1500,108486
1501,108710
1502,108833
1503,109134
1504,109630
1505,109969
1506,109993
1507,110082
1508,110313
1509,110483
1510,110776
1511,110905
1512,111228
1513,111738
1514,111780
1515,111829
1516,111833
1517,112071
1518,112083
1519,112486
1520,112658
1521,112866
1522,112890
1523,112898
1524,112936
1525,113064
1526,113119
1527,113914
1528,113928
1529,114073
1530,114105
1531,114141
1532,114271
1533,114879
1534,115027
1535,115049
1536,116096
1537,116709
1538,116734
1539,116871
1540,117359
1541,117360
1542,117581
1543,117999
1544,118058
1545,118702
1546,118784
1547,119122
1548,119185
1549,119367
1550,119694
1551,119916
1552,120078
1553,120159
1554,120575
1555,121142
1556,121409
1557,121476
1558,121546
1559,122081
1560,122129
1561,122422
1562,122464
1563,122779
1564,122859
1565,123588
1566,123691
1567,123942
1568,124118
1569,124145
1570,124203
1571,124212
1572,124215
1573,124236
1574,124429
1575,124438
1576,124801
1577,124805
1578,124842
1579,124877
1580,125070
1581,125220
1582,125385
1583,125409
1584,125424
1585,125585
1586,125980
1587,126126
1588,126638
1589,126696
1590,126713
1591,126937
1592,127558
1593,127622
1594,127699
1595,127815
1596,128060
1597,128337
1598,128359
1599,128424
1600,128821
1601,129142
1602,129444
1603,129464
1604,129753
1605,130578
1606,130579
1607,130606
1608,131110
1609,131346
1610,131790
1611,133295
1612,135082
1613,135508
1614,135646
1615,135911
1616,135966
1617,136080
1618,136314
1619,136337
1620,136339
1621,136735
1622,136892
1623,137578
1624,137704
1625,137717
1626,137854
1627,138077
1628,138098
1629,138284
1630,138849
1631,138915
1632,139096
1633,139185
1634,139311
1635,139484
1636,139495
1637,139914
1638,140551
1639,140757
1640,141354
1641,141594
1642,141974
1643,142358
1644,142821
1645,142910
1646,144078
1647,144127
1648,144148
1649,144437
1650,144472
1651,144491
1652,144566
1653,145191
1654,145259
1655,145276
1656,145323
1657,145481
1658,145534
1659,145664
1660,145680
1661,145683
1662,145686
1663,145805
1664,145840
1665,145843
1666,145848
1667,146029
1668,146181
1669,146455
1670,146482
1671,146515
1672,146554
1673,146802
1674,147074
1675,147241
1676,147267
1677,147378
1678,147412
1679,147796
1680,147997
1681,148758
1682,148874
1683,149020
1684,149042
1685,149067
1686,149405
1687,149562
1688,149583
1689,149724
1690,150008
1691,150241
1692,150253
1693,150429
1694,150645
1695,150694
1696,151189
1697,151556
1698,152458
1699,153263
1700,155430
1701,155698
1702,156607
1703,157407
1704,157635
1705,157724
1706,158043
1707,159143
1708,159469
1709,159566
1710,159885
1711,160534
1712,160940
1713,161132
1714,161918
1715,162267
1716,162510
1717,163061
1718,163326
1719,164377
1720,164461
1721,164929
1722,165525
1723,169356
1724,169847
1725,170892
1726,170986
1727,171268
1728,171281
1729,171467
1730,171730
1731,172146
1732,172259
1733,172416
1734,172529
1735,172530
1736,173115
1737,173251
1738,173301
1739,173304
1740,173696
1741,173829
1742,173830
1743,173952
1744,173962
1745,173995
1746,174631
1747,174958
1748,175179
1749,175195
1750,176202
1751,177630
1752,177819
1753,177909
1754,178498
1755,178714
1756,179452
1757,180724
1758,181133
1759,182348
1760,182544
1761,183385
1762,183429
1763,183904
1764,185341
1765,187668
1766,187734
1767,187743
1768,187936
1769,188217
1770,188435
1771,189602
1772,190034
1773,190306
1774,190955
1775,191201
1776,191238
1777,191560
1778,192721
1779,197120
1780,198050
1781,199533
1782,199859
1783,200430
1784,200439
1785,200522
1786,200844
1787,200991
1788,201505
1789,201665
1790,201724
1791,201793
1792,202608
1793,204925
1794,206227
1795,209912
1796,211606
1797,211624
1798,215537
1799,217563
1800,217650
1801,217674
1802,222483
1803,223283
1804,224839
1805,226087
1806,226171
1807,227403
1808,228768
1809,229416
1810,230121
1811,230145
1812,230182
1813,230535
1814,231002
1815,231816
1816,267272
1817,273858
1818,282167
1819,280280
1820,88818
1821,91642
1822,148231
1823,131129
1824,9677
1825,13789
1826,15437
1827,163027
1828,24505
1829,36948
1830,52250
1831,59918
1832,67446
1833,93187
1834,114001
1835,118619
1836,120805
1837,127243
1838,139515
1839,141762
1840,153221
1841,157601
1842,160954
1843,160957
1844,160961
1845,164048
1846,166436
1847,183543
1848,183544
1849,184637
1850,191001
1851,199284
1852,208780
1853,210338
1854,224008
1855,276179
1856,276562
1857,285722
1858,298771
1859,301741
1860,323753
1861,327399
1862,334150
1863,334382
1864,350054
1865,353866
1866,353867
1867,224846
1868,73792
1869,78972
1870,150205
1871,159995
1872,165580
1873,168201
1874,169090
1875,63456
1876,93386
1877,136564
1878,136908
1879,154793
1880,230058
1881,307931
1882,350658
1883,175332
1884,1995
1885,11456
1886,149769
1887,2724
1888,143904
1889,336565
1890,339708
1891,233139
1892,82304
1893,13153
1894,12134
1895,271522
1896,13594
1897,330360
1898,86991
1899,6029
1900,8059
1901,10482
1902,19881
1903,136042
1904,261594
1905,7873
1906,13452
1907,16030
1908,16090
1909,30269
1910,13174
1911,19150
1912,20394
1913,61780
1914,298249
1915,298250
1916,268780
1917,99881
1918,10039
1919,86032
1920,299443
1921,280424
1922,53168
1923,51484
1924,40393
1925,232381
1926,75090
1927,41022
1928,133932
1929,259519
1930,350135
1931,1986
1932,2061
1933,16623
1934,62427
1935,69522
1936,107520
1937,156993
1938,347124
1939,180187
1940,216012
1941,168793
1942,119367
1943,13562
1944,14049
1945,10597
1946,16262
1947,287632
1948,201368
1949,201384
1950,183111
1951,5827
1952,12265
1953,195215
1954,8843
1955,11585
1956,184518
1957,4771
1958,15637
1959,328501
1960,27209
1961,217860
1962,43132
1963,68822
1964,346367
1965,4251
1966,5403
1967,73262
1968,164993
1969,62512
1970,51184
1971,127968
1972,20925
1973,41883
1974,66062
1975,293682
1976,10291
1977,224179
1978,230016
1979,9463
1980,294235
1981,43467
1982,19217
1983,229702
1984,17729
1985,8352
1986,53212
1987,98633
1988,176117
1989,181908
1990,216931
1991,122576
1992,42878
1993,124946
1994,151943
1995,230828
1996,293539
1997,324606
1998,4290
1999,72162
2000,103022
2001,1848
2002,257848
2003,105988
2004,111884
2005,127615
2006,101110
2007,286033
2008,28053
2009,100988
2010,143400
2011,58342
2012,122040
2013,65394
2014,225767
2015,9469
2016,8650
2017,17838
2018,52349
2019,277514
2020,183733
2021,42859
2022,187100
2023,194899
2024,215768
2025,198656
2026,9185
2027,89574
2028,124559
2029,183047
2030,297958
2031,325654
2032,342629
2033,115808
2034,14350
2035,315725
2036,8507
2037,87843
2038,58365
2039,187513
2040,187526
2041,301035
2042,312446
2043,139164
2044,22904
2045,13433
2046,35424
2047,52755
2048,95621
2049,170921
2050,196486
2051,203345
2052,209541
2053,214548
2054,220017
2055,224930
2056,229722
2057,242692
2058,242697
2059,243803
2060,244584
2061,290671
2062,299178
2063,300974
2064,308715
2065,308716
2066,332097
2067,333744
2068,269545
2069,336037
2070,37383
2071,4069
2072,13139
2073,19208
2074,291947
2075,53176
2076,55272
2077,73454
2078,77736
2079,161817
2080,29870
2081,41717
2082,34537
2083,89758
2084,4806
2085,7997
2086,75948
2087,83039
2088,85058
2089,126386
2090,117058
2091,168318
2092,5352
2093,16057
2094,179554
2095,14977
2096,16268
2097,258629
2098,9736
2099,10859
2100,33624
2101,21287
2102,136016
2103,170819
2104,11472
2105,14419
2106,10125
2107,274221
2108,44718
2109,36915
2110,47379
2111,169832
2112,175735
2113,4713
2114,126363
2115,10212
2116,27611
2117,107270
2118,38183
2119,72611
2120,282908
2121,188921
2122,263080
2123,5751
2124,257242
2125,42308
2126,77451
2127,142671
2128,160342
2129,168613
2130,98241
2131,63636
2132,65613
2133,120003
2134,294732
2135,295196
2136,125220
2137,52536
2138,80828
2139,100326
2140,111880
2141,159900
2142,27285
2143,71647
2144,100376
2145,2366
2146,172842
2147,323825
2148,3482
2149,9129
2150,9411
2151,10165
2152,10737
2153,21470
2154,303319
2155,303321
2156,5214
2157,5440
2158,9813
2159,307663
2160,38537
2161,189936
2162,292774
2163,333316
2164,336217
2165,17314
2166,121170
2167,31297
2168,38179
2169,202081
2170,205445
2171,157561
2172,26874
2173,185618
2174,36864
2175,22482
2176,23451
2177,232924
2178,239362
2179,43419
2180,89516
2181,111068
2182,46481
2183,62808
2184,105541
2185,84601
2186,7976
2187,13804
2188,42735
2189,290056
2190,345712
2191,37033
2192,14414
2193,33589
2194,12679
2195,104195
2196,291702
2197,27247
2198,46908
2199,285895
2200,83023
2201,114862
2202,350956
2203,4291
2204,111375
2205,8977
2206,65635
2207,83359
2208,193749
2209,285785
2210,166118
2211,28917
2212,19346
2213,94855
2214,257749
2215,53588
2216,341350
2217,352360
2218,12008
2219,45455
2220,225341
2221,307463
2222,9827
2223,47737
2224,103724
2225,174431
2226,19336
2227,2495
2228,21897
2229,45246
2230,36396
2231,171782
2232,301209
2233,304926
2234,55053
2235,96572
2236,96604
2237,125781
2238,315728
2239,5706
2240,11866
2241,28049
2242,35083
2243,44138
2244,58472
2245,78729
2246,194736
2247,215255
2248,21556
2249,109862
2250,35227
2251,221126
2252,278025
2253,231134
2254,29881
2255,291973
2256,204546
2257,315112
2258,70331
2259,208438
2260,303588
2261,10213
2262,328255
2263,84801
2264,281913
2265,292171
2266,296892
2267,57689
2268,148178
2269,10248
2270,41419
2271,55358
2272,92671
2273,38203
2274,2214
2275,55764
2276,59027
2277,111158
2278,118238
2279,123090
2280,278594
2281,295730
2282,223065
2283,202112
2284,271864
2285,35479
2286,56772
2287,79275
2288,46421
2289,74237
2290,145443
2291,157427
2292,224354
2293,80651
2294,91072
2295,15746
2296,15886
2297,21025
2298,14694
2299,22039
2300,102480
2301,199145
2302,103423
2303,5757
2304,167923
2305,82365
2306,65007
2307,291949
2308,292146
2309,6058
2310,23420
2311,179489
2312,206923
2313,207626
2314,23282
2315,353999
2316,211001
2317,3985
2318,73905
2319,292472
2320,73592
2321,223449
2322,13733
2323,83777
2324,300847
2325,306701
2326,67501
2327,79109
2328,23597
2329,50092
2330,64517
2331,274569
2332,24792
2333,181589
2334,125204
2335,23109
2336,103425
2337,110994
2338,265707
2339,30686
2340,33123
2341,67094
2342,57881
2343,72108
2344,243550
2345,159324
2346,159328
2347,91119
2348,276427
2349,278487
2350,84399
2351,120931
2352,150113
2353,311408
2354,175793
2355,86333
2356,304163
2357,14534
2358,25507
2359,17500
2360,17739
2361,223419
2362,223420
2363,333470
2364,289784
2365,19395
2366,187167
2367,2656
2368,201793
2369,12118
2370,19647
2371,219296
2372,129339
2373,46072
2374,158175
2375,280468
2376,106373
2377,8748
2378,72853
2379,37022
2380,32957
2381,18447
2382,102350
2383,13780
2384,219751
2385,28052
2386,338288
2387,201093
2388,208258
2389,217779
2390,143667
2391,13950
2392,328261
2393,8297
2394,291945
2395,11201
2396,202547
2397,297051
2398,160708
2399,200888
2400,2296
2401,326364
2402,43691
2403,75599
2404,106950
2405,122595
2406,124025
2407,135512
2408,137359
2409,163820
2410,272795
2411,117697
2412,86641
2413,146200
2414,69602
2415,84351
2416,88094
2417,114142
2418,66283
2419,155427
2420,3013
2421,8680
2422,37771
2423,71304
2424,44655
2425,39618
2426,10886
2427,32512
2428,191736
2429,300237
2430,208399
2431,122441
2432,223462
2433,5063
2434,133635
2435,350873
2436,14114
2437,14136
2438,75676
2439,176394
2440,277887
2441,83799
2442,329091
2443,296809
2444,8757
2445,99555
2446,131660
2447,157276
2448,159138
2449,179709
2450,187098
2451,225792
2452,312644
2453,326127
2454,326502
2455,9172
2456,9702
2457,32011
2458,49342
2459,72276
2460,86216
2461,170695
2462,187064
2463,202983
2464,264983
2465,283344
2466,285966
2467,318989
2468,330066
2469,82696
2470,9814
2471,307743
2472,14333
2473,4910
2474,25197
2475,37097
2476,317986
2477,322558
2478,277128
2479,293531
2480,2424
2481,2428
2482,36829
2483,125263
2484,3698
2485,127005
2486,211547
2487,271570
2488,68783
2489,55326
2490,160697
2491,5223
2492,209471
2493,153336
2494,153634
2495,114357
