user,ip,toolname,date,lon,lat
jychen,140.113.87.196,omenwire,2016-05-20,121.53179931640625,25.047800064086914
hsyook,58.26.147.207,thermo,2016-05-20,112.5,2.5
nvt1976,46.150.97.102,abinit,2016-05-20,30.523300170898438,50.45000076293945
aaniljade.7058,106.76.97.83,cnia,2016-05-20,73.85540008544922,18.51959991455078
jychen,140.113.87.196,qdot,2016-05-20,121.53179931640625,25.047800064086914
robindu,103.230.105.8,sha2d,2016-05-20,91.83650207519531,22.394800186157227
aaniljade.7058,106.67.143.57,cnia,2016-05-20,77.0,20.0
y8210212000,140.127.233.78,qdot,2016-05-20,121.0,23.5
hctest2,128.46.19.208,workspace,2016-05-20,-86.91470336914062,40.42509841918945
graphene_simulation,113.108.133.53,vides,2016-05-20,113.25,23.11669921875
docgefe,158.109.11.194,veda,2016-05-20,2.0875000953674316,41.502601623535156
shrutz3,14.139.56.114,opv,2016-05-20,77.0,20.0
gardenia_jo74,129.94.237.166,ddaplus,2016-05-20,151.22760009765625,-33.952701568603516
shrutz3,14.139.56.114,pvanalyzer,2016-05-20,77.0,20.0
shrutz3,14.139.56.114,nanoenergytools,2016-05-20,77.0,20.0
asd278peter,134.91.222.40,bjt,2016-05-20,6.765200138092041,51.432498931884766
tompeach,131.227.3.225,workspace,2016-05-20,-0.12240000069141388,51.49639892578125
sabahat.shaheen,130.149.55.177,workspace,2016-05-20,13.319499969482422,52.51839828491211
aihua,210.72.19.250,vides,2016-05-20,116.38890075683594,39.92879867553711
robindu,103.230.104.23,sha2d,2016-05-20,90.40480041503906,23.793100357055664
aihua,210.72.19.250,gfettool,2016-05-20,116.38890075683594,39.92879867553711
copenhagen,195.37.210.125,partsub,2016-05-20,6.250100135803223,51.831298828125
leezs,180.102.104.24,ddaplus,2016-05-20,118.77780151367188,32.06169891357422
aihua,210.72.19.250,crystal_viewer,2016-05-20,116.38890075683594,39.92879867553711
aaniljade.7058,117.211.61.80,cnia,2016-05-20,92.71790313720703,23.728900909423828
gardenia_jo74,129.94.237.166,ddaconvert,2016-05-20,151.22760009765625,-33.952701568603516
jychen,140.113.87.196,mctrigate,2016-05-20,121.53179931640625,25.047800064086914
lin0804,180.102.96.142,ddaplus,2016-05-20,118.77780151367188,32.06169891357422
jychen,140.113.87.196,mgnanowirefet,2016-05-20,121.53179931640625,25.047800064086914
larsmusland,78.91.103.180,workspace,2016-05-20,10.7391996383667,59.90610122680664
jychen,140.113.87.196,nanofinfet,2016-05-20,121.53179931640625,25.047800064086914
rv16949,137.222.146.104,aqme,2016-05-20,-2.5917000770568848,51.45349884033203
rv16949,137.222.146.104,bandstrlab,2016-05-20,-2.5917000770568848,51.45349884033203
bedoui,195.83.155.55,polymod,2016-05-20,2.8333001136779785,49.41669845581055
jychen,140.113.87.196,vides,2016-05-20,121.53179931640625,25.047800064086914
maxplat,192.38.89.48,pntoy,2016-05-20,12.503800392150879,55.77040100097656
maxplat,192.38.89.48,adept,2016-05-20,12.503800392150879,55.77040100097656
umar.saleem,129.175.84.180,senstran,2016-05-20,2.33870005607605,48.85820007324219
rudolfzkh,183.157.160.35,compnano,2016-05-20,120.16190338134766,30.29400062561035
tvinialves,200.128.60.78,ddaplus,2016-05-20,-38.485801696777344,-12.866499900817871
antoniorm93,176.84.172.61,pntoy,2016-05-20,-4.004899978637695,40.635101318359375
q2396970828,45.79.11.105,gfettool,2016-05-20,-96.82170104980469,32.77870178222656
q2396970828,183.157.160.21,sha2d,2016-05-20,120.16190338134766,30.29400062561035
davidec,79.45.237.94,pntoy,2016-05-20,13.020500183105469,46.400001525878906
q2396970828,45.79.11.105,vides,2016-05-20,-96.82170104980469,32.77870178222656
aws2222,101.94.254.230,dftqe,2016-05-20,118.77780151367188,32.06169891357422
cmgtam,144.92.108.61,diffanalyzer,2016-05-20,-89.40750122070312,43.07820129394531
davidec,79.45.237.94,moscap,2016-05-20,13.020500183105469,46.400001525878906
abaur,128.179.189.200,workspace,2016-05-20,6.145899772644043,46.20539855957031
gardenia_jo74,27.32.53.196,ddaplus,2016-05-20,151.1768035888672,-33.90119934082031
jefonseca,172.21.235.217,workspace,2016-05-20,,
sreeve,10.186.145.31,lammpstool,2016-05-20,,
zengfeng90,85.16.69.223,abinit,2016-05-20,7.599999904632568,53.29999923706055
lee181,180.102.108.156,ddaplus,2016-05-20,118.77780151367188,32.06169891357422
zengf,85.16.69.223,abinit,2016-05-20,7.599999904632568,53.29999923706055
lee547,180.102.108.156,ddaplus,2016-05-20,118.77780151367188,32.06169891357422
sandholia1986,202.78.175.199,cntbands-ext,2016-05-20,77.0,20.0
enassakr,128.211.249.28,meep,2016-05-20,-86.91470336914062,40.42509841918945
arvind5iisc,14.139.128.21,devrel,2016-05-20,77.59369659423828,12.97189998626709
kiettipong1,10.186.48.46,workspace,2016-05-20,,
zengf,137.226.158.228,abinit,2016-05-20,6.086100101470947,50.77450180053711
desai61,10.186.27.155,nanomatmech,2016-05-20,,
zengfeng90,137.226.158.228,abinit,2016-05-20,6.086100101470947,50.77450180053711
faltens,128.46.94.228,crystal_viewer,2016-05-20,-86.91470336914062,40.42509841918945
diazdave25,71.104.78.196,grisp,2016-05-20,-97.8219985961914,37.750999450683594
mzentner,128.46.16.247,pntoy,2016-05-20,-86.91470336914062,40.42509841918945
enassakr,128.46.94.184,mpb,2016-05-20,-86.91470336914062,40.42509841918945
therealpda,91.114.217.137,qdot,2016-05-20,15.616700172424316,47.56669998168945
diazdave25,71.104.78.196,nanowire,2016-05-20,-97.8219985961914,37.750999450683594
diazdave25,71.104.78.196,archimedes,2016-05-20,-97.8219985961914,37.750999450683594
diazdave25,71.104.78.196,omenwire,2016-05-20,-97.8219985961914,37.750999450683594
enassakr,128.211.249.28,workspace,2016-05-20,-86.91470336914062,40.42509841918945
sreeve,10.186.145.31,workspace,2016-05-20,,
diazdave25,71.104.78.196,vb6dosenumber,2016-05-20,-97.8219985961914,37.750999450683594
rhobbs,18.62.27.154,ddaplus,2016-05-20,-71.09870147705078,42.364898681640625
diazdave25,71.104.78.196,nanomos,2016-05-20,-97.8219985961914,37.750999450683594
ajmedfor,143.215.240.176,wulffman,2016-05-20,-84.39730072021484,33.774600982666016
sreeve,10.186.145.44,workspace,2016-05-20,,
diazdave25,71.104.78.196,vides,2016-05-20,-97.8219985961914,37.750999450683594
zeng_feng,137.226.158.228,abinit,2016-05-20,6.086100101470947,50.77450180053711
mariorua,83.60.171.196,crystal_viewer,2016-05-20,-3.684000015258789,40.417198181152344
ldelgass,98.222.201.95,prophet,2016-05-20,-87.72090148925781,42.07699966430664
clarksm,128.46.16.15,workspace,2016-05-20,-86.91470336914062,40.42509841918945
yafayez,24.43.253.238,moscap,2016-05-20,-116.97100067138672,32.79159927368164
gonzalezmarinoangela,213.37.13.134,vides,2016-05-20,-3.7016000747680664,40.41429901123047
nurulhuda,50.140.147.210,veda,2016-05-20,-97.8219985961914,37.750999450683594
mariorua,83.60.171.196,nsoptics,2016-05-20,-3.684000015258789,40.417198181152344
flynn,137.226.158.228,abinit,2016-05-20,6.086100101470947,50.77450180053711
habibnazir1,103.49.171.194,advte,2016-05-20,90.42790222167969,23.752500534057617
sreeve,10.186.145.31,nanomatmech,2016-05-20,,
diazdave25,71.104.78.196,gfettool,2016-05-20,-97.8219985961914,37.750999450683594
moukhtari,213.55.176.166,workspace,2016-05-20,7.395899772644043,47.192100524902344
aerovane,130.126.177.226,ddaplus,2016-05-20,-88.2061996459961,40.104698181152344
fjr2009,128.46.222.66,photonicsdb,2016-05-20,-86.91470336914062,40.42509841918945
sslone2,192.17.210.29,legogen,2016-05-20,-88.2061996459961,40.104698181152344
light2,66.244.64.34,s4sim,2016-05-20,-86.77890014648438,39.289100646972656
scottsm,207.223.39.245,archimedes,2016-05-20,-87.61229705810547,41.55070114135742
euanmc,150.135.248.52,nsoptics,2016-05-20,-110.94879913330078,32.23460006713867
light2,128.46.222.241,workspace,2016-05-20,-86.91470336914062,40.42509841918945
lalzatev,10.186.147.54,polymod,2016-05-20,,
youssefbejaoui47,93.168.18.28,rtdnegf,2016-05-20,46.7151985168457,24.65369987487793
youssefbejaoui47,93.168.18.28,1dhetero,2016-05-20,46.7151985168457,24.65369987487793
youssefbejaoui47,93.168.18.28,qdot,2016-05-20,46.7151985168457,24.65369987487793
shalm,10.186.33.233,fibstream,2016-05-20,,
jduritsc95,72.12.195.242,qcrf4photo,2016-05-20,-86.92559814453125,40.444400787353516
jvclark,68.54.137.122,sugarcubecad,2016-05-20,-85.42729949951172,40.21160125732422
sajidmc,128.46.220.102,fibstream,2016-05-20,-86.91470336914062,40.42509841918945
light2,128.46.222.241,s4sim,2016-05-20,-86.91470336914062,40.42509841918945
jvclark,68.54.137.122,workspace,2016-05-20,-85.42729949951172,40.21160125732422
ibm2013010,14.139.236.210,senstran,2016-05-20,81.84320068359375,25.444799423217773
