,year_month,simtotal_track,clustered_track,clustered_m_track,clustered_x_track,clustered_mx_track,self_identified_track,self_track,researcher_track,all_researchers,clustered_track_per,self_identified_track_per,researcher_track_per,self_track_per,all_researchers_per
82,2006-11-01,7617,342,117,122,103,8,6993,385,393,4.425465838509317,0.10351966873706005,4.981884057971015,90.48913043478261,5.0854037267080745
83,2006-12-01,8024,380,125,128,127,9,7348,405,414,4.667157946450503,0.1105379513633014,4.974207811348563,90.24809629083764,5.084745762711865
84,2007-01-01,8237,398,136,134,128,11,7535,413,424,4.762474572214909,0.13162618164413067,4.941964819911451,90.1639344262295,5.073591001555582
85,2007-02-01,8998,444,145,149,150,12,8239,428,440,4.8668201249588945,0.1315356790529431,4.691439219554971,90.3102049764332,4.822974898607914
86,2007-03-01,9532,474,160,157,157,13,8731,445,458,4.905308910276312,0.13453378867846424,4.605195073993584,90.35496222705164,4.739728862672048
87,2007-04-01,10022,511,174,170,167,13,9178,455,468,5.031013094417643,0.1279905483902727,4.479669193659546,90.36132716353254,4.607659742049818
88,2007-05-01,10384,539,183,177,179,13,9501,474,487,5.120167189132706,0.12349197302175359,4.502707324023938,90.2536335138216,4.626199297045692
89,2007-06-01,10690,562,191,185,186,13,9771,492,505,5.185458571692194,0.11994832995017532,4.539582948883558,90.15501014947407,4.659531278833733
90,2007-07-01,10976,589,202,192,195,13,10018,508,521,5.29295470884256,0.11682242990654204,4.565061107117182,90.02516175413372,4.681883537023724
91,2007-08-01,11245,606,210,198,198,13,10267,514,527,5.315789473684211,0.11403508771929824,4.508771929824562,90.06140350877193,4.62280701754386
92,2007-09-01,11568,626,214,208,204,16,10557,528,544,5.338108638185384,0.13643728148716636,4.50243028907649,90.02302379125095,4.638867570563657
93,2007-10-01,11956,659,220,213,226,16,10900,545,561,5.437293729372937,0.132013201320132,4.496699669966997,89.93399339933993,4.628712871287129
94,2007-11-01,12511,707,238,229,240,17,11399,559,576,5.574830468380382,0.13404825737265416,4.407822110077275,89.8832991641697,4.541870367449929
95,2007-12-01,12898,763,257,251,255,19,11722,571,590,5.8355640535372855,0.14531548757170173,4.367112810707456,89.65200764818356,4.512428298279159
96,2008-01-01,13132,798,271,263,264,19,11920,580,599,5.992340617256139,0.14267477660133665,4.355335285725013,89.50964932041752,4.49801006232635
97,2008-02-01,13861,1306,316,311,679,20,12137,587,607,9.295373665480428,0.1423487544483986,4.177935943060499,86.38434163701068,4.320284697508897
98,2008-03-01,14518,1677,369,432,876,21,12414,603,624,11.396534148827726,0.14271151885830785,4.097859327217125,84.36289500509685,4.240570846075433
99,2008-04-01,14918,1811,400,476,935,22,12672,619,641,11.97434541126686,0.14546416291986247,4.092832583972495,83.78735784184079,4.238296746892357
100,2008-05-01,15422,2070,443,543,1084,23,12911,632,655,13.23867996930161,0.14709644410335124,4.041954464057303,82.57226912253773,4.189050908160655
101,2008-06-01,15736,2160,468,570,1122,23,13131,641,664,13.538075838295205,0.14415543716703227,4.017549357568161,82.3002193669696,4.161704794735193
102,2008-07-01,16045,2206,493,584,1129,23,13388,651,674,13.560363904597983,0.14138185394639782,4.00172117039587,82.29653307105976,4.143103024342267
